Snoring Rate,Respiratory Rate,Body Temperature,Limb Movement,Blood Oxygen,Eye Movement,Sleep Hours,Heart Rate
97.504,27.504,86.88,17.752,84.256,101.88,0.0,78.76
77.92,21.792,93.792,11.792,91.792,93.96,4.688,64.48
45.44,16.176,96.264,4.352,95.176,61.76,7.176,50.44
70.56,21.056,93.056,11.056,91.056,90.28,3.584,62.64
87.08,23.888,90.944,14.36,88.944,97.36,0.944,69.72
85.64,23.504,90.752,13.88,88.752,96.88,0.752,68.76
54.8,18.96,94.96,8.96,93.44,82.4,5.96,57.4
61.44,20.144,92.144,10.144,90.144,85.72,2.216,60.36
54.72,18.944,94.944,8.944,93.416,82.36,5.944,57.36
55.04,19.008,95.008,9.008,93.512,82.52,6.008,57.52
91.64,25.104,91.552,15.88,89.552,98.88,1.552,72.76
45.24,16.096,96.144,4.192,95.096,60.96,7.096,50.24
49.48,17.792,98.688,7.584,96.792,77.92,8.792,54.48
50.64,18.128,94.128,8.128,92.192,80.32,5.128,55.32
45.32,16.128,96.192,4.256,95.128,61.28,7.128,50.32
60.0,20.0,92.0,10.0,90.0,85.0,2.0,60.0
99.008,29.008,88.76,18.504,86.512,103.76,0.0,82.52
48.04,17.216,97.824,6.432,96.216,72.16,8.216,53.04
55.44,19.088,95.088,9.088,93.632,82.72,6.088,57.72
86.48,23.728,90.864,14.16,88.864,97.16,0.864,69.32
86.6,23.76,90.88,14.2,88.88,97.2,0.88,69.4
89.12,24.432,91.216,15.04,89.216,98.04,1.216,71.08
94.4,25.84,91.92,16.8,89.92,99.8,1.92,74.6
97.28,27.28,86.6,17.64,83.92,101.6,0.0,78.2
93.44,25.584,91.792,16.48,89.792,99.48,1.792,73.96
96.288,26.288,85.36,17.144,82.432,100.36,0.0,75.72
49.8,17.92,98.88,7.84,96.92,79.2,8.92,54.8
57.12,19.424,95.424,9.424,94.136,83.56,6.424,58.56
46.64,16.656,96.984,5.312,95.656,66.56,7.656,51.64
46.8,16.72,97.08,5.44,95.72,67.2,7.72,51.8
58.8,19.76,95.76,9.76,94.64,84.4,6.76,59.4
61.28,20.128,92.128,10.128,90.128,85.64,2.192,60.32
98.144,28.144,87.68,18.072,85.216,102.68,0.0,80.36
47.16,16.864,97.296,5.728,95.864,68.64,7.864,52.16
98.432,28.432,88.04,18.216,85.648,103.04,0.0,81.08
80.84,22.224,90.112,12.28,88.112,95.28,0.112,65.56
70.4,21.04,93.04,11.04,91.04,90.2,3.56,62.6
72.48,21.248,93.248,11.248,91.248,91.24,3.872,63.12
91.04,24.944,91.472,15.68,89.472,98.68,1.472,72.36
78.24,21.824,93.824,11.824,91.824,94.12,4.736,64.56
87.56,24.016,91.008,14.52,89.008,97.52,1.008,70.04
45.92,16.368,96.552,4.736,95.368,63.68,7.368,50.92
58.0,19.6,95.6,9.6,94.4,84.0,6.6,59.0
60.16,20.016,92.016,10.016,90.016,85.08,2.024,60.04
77.28,21.728,93.728,11.728,91.728,93.64,4.592,64.32
45.56,16.224,96.336,4.448,95.224,62.24,7.224,50.56
78.88,21.888,93.888,11.888,91.888,94.44,4.832,64.72
98.88,28.88,88.6,18.44,86.32,103.6,0.0,82.2
70.08,21.008,93.008,11.008,91.008,90.04,3.512,62.52
57.28,19.456,95.456,9.456,94.184,83.64,6.456,58.64
47.32,16.928,97.392,5.856,95.928,69.28,7.928,52.32
52.24,18.448,94.448,8.448,92.672,81.12,5.448,56.12
99.424,29.424,89.28,18.712,87.136,104.28,0.0,83.56
92.12,25.232,91.616,16.04,89.616,99.04,1.616,73.08
90.92,24.912,91.456,15.64,89.456,98.64,1.456,72.28
68.8,20.88,92.88,10.88,90.88,89.4,3.32,62.2
80.0,22.0,90.0,12.0,88.0,95.0,0.0,65.0
67.84,20.784,92.784,10.784,90.784,88.92,3.176,61.96
51.6,18.32,94.32,8.32,92.48,80.8,5.32,55.8
99.584,29.584,89.48,18.792,87.376,104.48,0.0,83.96
96.992,26.992,86.24,17.496,83.488,101.24,0.0,77.48
93.08,25.488,91.744,16.36,89.744,99.36,1.744,73.72
91.28,25.008,91.504,15.76,89.504,98.76,1.504,72.52
90.32,24.752,91.376,15.44,89.376,98.44,1.376,71.88
62.4,20.24,92.24,10.24,90.24,86.2,2.36,60.6
77.6,21.76,93.76,11.76,91.76,93.8,4.64,64.4
96.192,26.192,85.24,17.096,82.288,100.24,0.0,75.48
62.24,20.224,92.224,10.224,90.224,86.12,2.336,60.56
98.848,28.848,88.56,18.424,86.272,103.56,0.0,82.12
72.8,21.28,93.28,11.28,91.28,91.4,3.92,63.2
45.04,16.016,96.024,4.032,95.016,60.16,7.016,50.04
